Horizontal_vibration_signals,Vertical_vibration_signals
-0.14296770095825195,-0.08795260451734066
-0.7278800010681152,0.6446362286806107
-0.18635990098118782,0.26448970660567284
-0.36803480237722397,0.07886890321969986
0.14691350050270557,-0.4024624824523926
0.32117370516061783,-0.6980299949645996
-0.030064599122852087,0.04916190169751644
-0.28935670852661133,-0.02377029974013567
0.20667310804128647,-0.6374835968017578
0.2943276986479759,-0.5416512116789818
-0.7289767265319824,-0.312042199075222
-0.3236531838774681,-0.33077001571655273
0.0628351978957653,-0.5537509918212891
0.5994797125458717,-1.1765599250793457
0.19388200715184212,-0.278472900390625
-0.004565700073726475,-0.19708869978785515
0.22453069686889648,-0.38460489362478256
0.4821180924773216,-0.5160332098603249
0.5950808897614479,-0.27031900361180305
0.25388000532984734,-0.11671779677271843
0.40532350540161133,-0.12679100036621094
-0.46703819185495377,-0.13093950226902962
0.21200180053710938,-0.3057836927473545
-0.2740144915878773,-0.09213689714670181
-0.5234599113464355,0.20726919174194336
-0.1447558030486107,0.3473043069243431
0.0634909002110362,-0.5323171988129616
0.07797480095177889,-0.35893920809030533
-0.48285719007253647,-0.14040470123291016
0.21473169326782227,0.08929969742894173
-0.08873940445482731,-0.20024780184030533
0.09213689714670181,-0.6072760000824928
-1.0004401206970215,0.03195999888703227
-0.09107589721679688,0.47222379595041275
-0.1689792051911354,-0.4033803939819336
0.032341498881578445,-0.5272030830383301
0.622260607779026,0.3159761056303978
0.7864832878112793,0.12111660093069077
0.20221469923853874,0.19121170043945312
0.14268159866333008,0.10021920315921307
0.8452057838439941,0.28522010892629623
0.06726980209350586,0.1124619971960783
-0.07240769919008017,-0.36562681198120117
-0.1979232020676136,-0.3823399916291237
0.4915713891386986,-0.3123760037124157
-0.5773187056183815,-0.3038525953888893
0.12400150299072266,0.16050340607762337
0.017666800413280725,0.2799868956208229
0.4897594079375267,-0.12719630263745785
-0.06350279785692692,0.02429489977657795
-0.34166570752859116,0.19108060747385025
0.26276109740138054,0.3388524055480957
0.11912579648196697,-0.47824379056692123
-0.19135480746626854,0.04974599927663803
-0.5386590957641602,0.8531928062438965
1.270127296447754,0.366365909576416
0.245511494576931,-0.4861712083220482
0.7555723190307617,0.06811620201915503
0.5596042051911354,0.48842430114746094
0.3246903046965599,0.06902220193296671
-0.012946099741384387,-0.8484721183776855
0.5911469087004662,-0.6345152854919434
0.6967425346374512,-0.09849069640040398
0.20216699689626694,-0.27518270537257195
0.6111741065979004,0.06802080199122429
0.4684925079345703,-0.013530299765989184
0.6094216927886009,-0.46324729919433594
-0.2769828028976917,-0.25948289781808853
0.6326556205749512,-0.32455921173095703
0.6658791750669479,-0.9120584279298782
