序号,group_id,a1,a2,a3,a4,label,time
1,7,-4.17647,-4.76084,0.628185,-1.594,0,1
2,7,1.35017,-2.46074,5.18963,-2.03244,0,2
3,7,2.06729,-2.29412,-1.71545,-2.63937,0,3
4,7,5.61545,-1.64849,4.45693,-3.84212,0,4
5,7,7.41089,-3.96188,6.42656,-6.13838,0,5
6,7,0.744052,-3.1042,-0.550251,-0.040021,0,6
7,7,3.47359,0.518605,-0.620609,0.114627,0,7
8,7,-1.7753,-0.348424,1.16388,-2.78452,0,8
9,7,-1.06632,3.50026,-3.39246,0.182653,0,9
10,7,1.25154,-0.989713,-0.686827,-0.237195,0,10
11,7,1.73134,0.464508,2.82296,-2.20152,0,11
12,7,2.05496,-2.41261,-0.390079,3.84495,0,12
13,7,0.716787,4.71464,3.59622,3.01088,0,13
14,7,0.598602,2.55581,1.46794,-0.303788,0,14
15,7,1.64613,1.68689,-0.392975,0.0219401,0,15
16,7,2.42241,0.644693,-5.15404,5.78707,0,16
17,7,-0.612696,-1.83044,0.32289,0.785384,0,17
18,7,2.75431,-1.76767,-0.302335,1.73836,0,18
19,7,4.36346,-3.67174,-0.704896,-3.55807,0,19
20,7,-2.09714,-12.129,1.6157,-1.68253,0,20
21,7,-4.07278,1.3798,2.46552,2.07187,0,21
22,7,4.55967,3.41647,-4.44811,6.19134,0,22
23,7,5.54383,5.5959,3.10399,-2.42335,0,23
24,7,2.36123,-0.221658,-0.306333,0.619336,0,24
25,7,-4.704,-3.95632,0.87376,-0.784331,0,25
26,7,0.233341,0.394549,1.12595,-0.252355,0,26
27,7,-1.49874,-0.63897,-0.504302,-1.00528,0,27
28,7,6.94347,2.91632,-0.425113,12.1278,0,28
29,7,-7.48604,4.5491,-0.282188,-1.58699,0,29
30,7,-0.309548,2.41481,-4.75741,-0.672064,0,30
31,7,6.25024,-0.628802,0.598123,-2.69044,0,31
32,7,-0.892876,0.50491,-1.60327,3.02165,0,32
33,7,-4.64619,4.10074,0.239019,1.64177,0,33
34,7,-3.35605,-0.0550311,-2.41736,0.16099,0,34
35,7,0.0256121,-2.79929,-1.52657,-0.517712,0,35
36,7,-12.5148,1.2708,-2.37335,-2.12705,0,36
37,7,-5.96047,-1.24325,3.53042,6.31771,0,37
38,7,10.8469,1.81325,-4.09659,4.98251,0,38
39,7,-2.81288,1.58154,0.370496,1.29124,0,39
40,7,-2.43349,1.40692,0.528734,-1.52547,0,40
41,7,-1.02299,1.6793,1.14623,1.88,0,41
42,7,4.64776,-0.355338,1.02552,0.471717,0,42
43,7,0.791048,-1.27307,-1.30404,-0.03014,0,43
44,7,-11.6394,-9.08283,5.28608,-0.0782807,0,44
45,7,-2.09521,3.99214,0.139695,-6.40926,0,45
46,7,12.5288,2.9433,4.54801,0.279298,0,46
47,7,6.11498,-1.5662,9.47035,-6.94528,0,47
48,7,0.0334991,2.45454,-3.91586,2.30199,0,48
49,7,5.99679,0.809557,3.85987,2.20081,0,49
50,7,-2.9343,0.676418,1.47444,-3.24248,0,50
51,7,4.10542,-5.1768,-5.99626,-3.52555,0,51
52,7,2.69655,3.96651,-2.20131,1.41314,0,52
53,7,-0.632731,-5.41678,8.44491,4.56076,0,53
54,7,12.6141,-1.18427,-0.688048,-2.63643,0,54
55,7,12.2612,1.85026,-1.63154,1.27751,0,55
56,7,-1.96805,0.0558723,-1.48655,0.986517,0,56
57,7,-1.45446,2.79145,1.43871,5.32406,0,57
58,7,-0.266634,-0.561961,-1.20925,-2.61338,0,58
59,7,-1.32542,-8.07589,3.70454,-3.57486,0,59
60,7,4.20815,2.04427,-2.03093,2.17297,0,60
61,7,-0.893788,2.41996,-2.8068,-0.560278,0,61
62,7,-3.96078,1.66818,2.73594,-1.57984,0,62
