,group_id,a1,a2,a3,a4,label,time
1,40,2.19379,-3.6,1.96629,-2.61726,1,1
2,40,1.30624,-1.72088,1.19345,5.44974,1,2
3,40,-4.27915,-0.701865,2.58848,5.72287,1,3
4,40,-2.64138,3.23101,2.08204,-1.77685,1,4
5,40,12.8822,2.49197,0.250374,-9.12177,1,5
6,40,2.22663,-7.88783,-1.47824,-1.25712,1,6
7,40,4.05003,-14.8833,4.86204,-11.0864,1,7
8,40,-5.00428,8.4405,6.26052,4.6922,1,8
9,40,-7.62974,0.418834,-2.35992,-2.01711,1,9
10,40,-6.70664,5.04493,2.00962,0.893413,1,10
11,40,-4.77347,5.62494,0.558859,-2.86113,1,11
12,40,-3.63544,-5.15862,3.00886,1.36615,1,12
13,40,4.61599,-3.765,-0.208046,-3.14189,1,13
14,40,-5.5321,4.49719,2.10055,3.10275,1,14
15,40,-6.3974,1.27597,-4.91241,-4.71923,1,15
16,40,4.82306,3.05232,1.70544,0.476878,1,16
17,40,-0.537363,3.11903,2.25506,4.13543,1,17
18,40,-7.46256,3.37202,-0.222522,-0.879082,1,18
19,40,5.50246,1.62441,0.466994,-3.13628,1,19
20,40,6.38187,-1.41799,3.04695,2.13781,1,20
21,40,-0.127577,-0.0455206,0.00552767,-0.579442,1,21
22,40,3.26643,-7.03977,9.82814,0.0558753,1,22
23,40,-3.70178,6.60084,2.37275,4.61883,1,23
24,40,-5.92397,-3.16858,-3.87302,-4.04386,1,24
25,40,-0.903312,-4.83499,-1.11482,-0.707719,1,25
26,40,-6.83295,3.20024,7.54881,9.86827,1,26
27,40,-1.15176,0.188219,-1.0537,0.051836,1,27
28,40,2.0417,-4.52098,0.165848,-0.838157,1,28
29,40,-2.54068,4.03758,3.6515,2.21794,1,29
30,40,-4.44685,5.32056,-6.3517,1.10325,1,30
31,40,11.8099,2.56424,-0.241399,-4.54269,1,31
32,40,12.4883,0.169374,7.72664,4.43348,1,32
33,40,0.267969,2.14449,-2.01705,-5.00635,1,33
